ds,yhat,Model,Dealer_Region
2024-01-31,3.7089943396670657,3000GT,Austin
2024-02-29,3.8143981617209013,3000GT,Austin
2024-03-31,3.927071212881898,3000GT,Austin
2024-04-30,4.036109649489315,3000GT,Austin
2024-05-31,4.148782700650312,3000GT,Austin
2024-06-30,4.257821137257728,3000GT,Austin
2024-01-31,3.3903915232653543,3000GT,Middletown
2024-02-29,3.4896337550373624,3000GT,Middletown
2024-03-31,3.5957202786557163,3000GT,Middletown
2024-04-30,3.698384656350898,3000GT,Middletown
2024-05-31,3.8044711799692523,3000GT,Middletown
2024-06-30,3.9071355576644335,3000GT,Middletown
2024-01-31,2.2073427746046734,300M,Austin
2024-02-29,2.2253141450706497,300M,Austin
2024-03-31,2.2445249203963487,300M,Austin
2024-04-30,2.2631159932921863,300M,Austin
2024-05-31,2.282326768617885,300M,Austin
2024-06-30,2.3009178415137224,300M,Austin
2024-01-31,1.8870212874480476,300M,Pasco
2024-02-29,1.9022714205566624,300M,Pasco
2024-03-31,1.9185732869831122,300M,Pasco
2024-04-30,1.9343492867506447,300M,Pasco
2024-05-31,1.9506511531770945,300M,Pasco
2024-06-30,1.9664271529446267,300M,Pasco
2024-01-31,3.1895637816808873,323i,Aurora
2024-02-29,3.288782863737003,323i,Aurora
2024-03-31,3.394844641107334,323i,Aurora
2024-04-30,3.4974850708205576,323i,Aurora
2024-05-31,3.603546848190888,323i,Aurora
2024-06-30,3.706187277904112,323i,Aurora
2024-01-31,2.837727244696398,323i,Greenville
2024-02-29,2.891637539310367,323i,Greenville
2024-03-31,2.9492657852770225,323i,Greenville
2024-04-30,3.0050350555673355,323i,Greenville
2024-05-31,3.0626633015339912,323i,Greenville
2024-06-30,3.1184325718243042,323i,Greenville
2024-01-31,1.9814516092728285,323i,Pasco
2024-02-29,1.9838442129295133,323i,Pasco
2024-03-31,1.986401823734935,323i,Pasco
2024-04-30,1.9888769309659884,323i,Pasco
2024-05-31,1.99143454177141,323i,Pasco
2024-06-30,1.9939096490024635,323i,Pasco
2024-01-31,1.6372073636618927,328i,Austin
2024-02-29,1.6260500052986049,328i,Austin
2024-03-31,1.6141231739447455,328i,Austin
2024-04-30,1.6025810790861716,328i,Austin
2024-05-31,1.5906542477323122,328i,Austin
2024-06-30,1.5791121528737386,328i,Austin
2024-01-31,1.4370830368874514,328i,Middletown
2024-02-29,1.3856557887481082,328i,Middletown
2024-03-31,1.3306818338405348,328i,Middletown
2024-04-30,1.2774812323170766,328i,Middletown
2024-05-31,1.2225072774095032,328i,Middletown
2024-06-30,1.1693066758860449,328i,Middletown
2024-01-31,3.135911227386654,328i,Scottsdale
2024-02-29,3.216175013540247,328i,Scottsdale
2024-03-31,3.301974233221673,328i,Scottsdale
2024-04-30,3.385005736139183,328i,Scottsdale
2024-05-31,3.47080495582061,328i,Scottsdale
2024-06-30,3.5538364587381195,328i,Scottsdale
2023-09-30,1.2017839500379597,4Runner,Austin
2023-10-31,1.2076513739779537,4Runner,Austin
2023-11-30,1.2133295261779482,4Runner,Austin
2023-12-31,1.2191969501179425,4Runner,Austin
2024-01-31,1.2250643740579366,4Runner,Austin
2024-02-29,1.2305532545179312,4Runner,Austin
2023-10-31,1.1573919973545312,5-Sep,Janesville
2023-11-30,1.1594887057254,5-Sep,Janesville
2023-12-31,1.1616553043752975,5-Sep,Janesville
2024-01-31,1.1638219030251953,5-Sep,Janesville
2024-02-29,1.165848721117035,5-Sep,Janesville
2024-03-31,1.1680153197669325,5-Sep,Janesville
2024-01-31,2.9270539096365873,528i,Aurora
2024-02-29,2.996883006166209,528i,Aurora
2024-03-31,3.0715279024564937,528i,Aurora
2024-04-30,3.1437648988664475,528i,Aurora
2024-05-31,3.2184097951567328,528i,Aurora
2024-06-30,3.290646791566686,528i,Aurora
2024-01-31,5.175555151468951,528i,Austin
2024-02-29,5.367324808225002,528i,Austin
2024-03-31,5.572319958550433,528i,Austin
2024-04-30,5.770702362091174,528i,Austin
2024-05-31,5.975697512416606,528i,Austin
2024-06-30,6.174079915957346,528i,Austin
2024-01-31,4.2005899297958,528i,Janesville
2024-02-29,4.3332959212906,528i,Janesville
2024-03-31,4.475154050129867,528i,Janesville
2024-04-30,4.6124361102969,528i,Janesville
2024-05-31,4.754294239136168,528i,Janesville
2024-06-30,4.8915762993032015,528i,Janesville
2024-01-31,4.102222255424088,528i,Scottsdale
2024-02-29,4.196186238136026,528i,Scottsdale
2024-03-31,4.296630495517752,528i,Scottsdale
2024-04-30,4.393834615564585,528i,Scottsdale
2024-05-31,4.49427887294631,528i,Scottsdale
2024-06-30,4.591482992993143,528i,Scottsdale
2024-01-31,1.643850683602508,A4,Austin
2024-02-29,1.6716512261061673,A4,Austin
2024-03-31,1.7013690474031828,A4,Austin
2024-04-30,1.73012822930352,A4,Austin
2024-05-31,1.7598460506005353,A4,Austin
2024-06-30,1.7886052325008723,A4,Austin
2023-12-31,1.287714969901939,A4,Middletown
2024-01-31,1.263497937210238,A4,Middletown
2024-02-29,1.2408432937244531,A4,Middletown
2024-03-31,1.216626261032752,A4,Middletown
2024-04-30,1.1931904229440091,A4,Middletown
2024-05-31,1.168973390252308,A4,Middletown
2024-01-31,4.259442428000216,A6,Austin
2024-02-29,4.36472031075097,A6,Austin
2024-03-31,4.477258737139707,A6,Austin
2024-04-30,4.586166891709452,A6,Austin
2024-05-31,4.698705318098188,A6,Austin
2024-06-30,4.807613472667933,A6,Austin
2024-01-31,2.3891938939001878,A6,Middletown
2024-02-29,2.3934206664201816,A6,Middletown
2024-03-31,2.3979389404932783,A6,Middletown
2024-04-30,2.4023114637898235,A6,Middletown
2024-05-31,2.4068297378629198,A6,Middletown
2024-06-30,2.411202261159465,A6,Middletown
2024-01-31,4.3236096036297935,A6,Scottsdale
2024-02-29,4.441927363417812,A6,Scottsdale
2024-03-31,4.568404968708452,A6,Scottsdale
2024-04-30,4.690802651247782,A6,Scottsdale
2024-05-31,4.817280256538422,A6,Scottsdale
2024-06-30,4.939677939077751,A6,Scottsdale
2024-01-31,2.0579293200983475,Accord,Aurora
2024-02-29,2.091697767251314,Accord,Aurora
2024-03-31,2.127795072828624,Accord,Aurora
2024-04-30,2.162727949193762,Accord,Aurora
2024-05-31,2.198825254771071,Accord,Aurora
2024-06-30,2.2337581311362094,Accord,Aurora
2024-01-31,3.0526285926944463,Accord,Janesville
2024-02-29,3.1246389532789514,Accord,Janesville
2024-03-31,3.201615545627905,Accord,Janesville
2024-04-30,3.2761090220946345,Accord,Janesville
2024-05-31,3.3530856144435877,Accord,Janesville
2024-06-30,3.4275790909103163,Accord,Janesville
2024-01-31,2.424439627896768,Accord,Scottsdale
2024-02-29,2.45538976380461,Accord,Scottsdale
2024-03-31,2.488474391844027,Accord,Scottsdale
2024-04-30,2.520491773817657,Accord,Scottsdale
2024-05-31,2.553576401857074,Accord,Scottsdale
2024-06-30,2.585593783830703,Accord,Scottsdale
2024-01-31,1.9395132474414105,Altima,Aurora
2024-02-29,1.9760132531612637,Altima,Aurora
2024-03-31,2.0150305006548996,Altima,Aurora
2024-04-30,2.0527891272616445,Altima,Aurora
2024-05-31,2.0918063747552806,Altima,Aurora
2024-06-30,2.1295650013620255,Altima,Aurora
2023-12-31,1.0666395830022006,Altima,Austin
