nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-12-19 16:51:31 /manufacturer/production-analytics ......... ~ 500.45ms
  2025-12-19 16:54:09 /manufacturer/production-analytics ........... ~ 0.11ms
  2025-12-19 16:56:44 /analyze/ .................................... ~ 0.09ms
  2025-12-19 16:58:23 /analyze/ .................................... ~ 0.10ms
  2025-12-19 16:58:29 /analyze/ .................................... ~ 0.14ms
  2025-12-19 16:58:32 /analyze/ .................................... ~ 0.12ms
  2025-12-19 16:58:44 /vendor/orders ............................... ~ 0.20ms
  2025-12-19 17:02:11 /vendor/manufacturer-orders .................. ~ 0.18ms
  2025-12-19 17:05:24 /manufacturer/production-lines ............... ~ 0.17ms
  2025-12-19 17:07:47 /manufacturer/dashboard ...................... ~ 0.15ms
  2025-12-19 17:08:21 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:08:21 /analyze/ .................................... ~ 0.11ms
  2025-12-19 17:08:22 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:08:22 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:08:23 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:08:25 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:08:29 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:08:29 /analyze/ .................................... ~ 0.15ms
  2025-12-19 17:08:30 /analyze/ .................................... ~ 0.10ms
  2025-12-19 17:08:31 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:08:34 /analyze/ .................................... ~ 0.10ms
  2025-12-19 17:08:34 /analyze/ .................................... ~ 0.03ms
  2025-12-19 17:08:34 /analyze/ .................................... ~ 0.02ms
  2025-12-19 17:08:37 /analyze/ .................................... ~ 0.11ms
  2025-12-19 17:08:37 /analyze/ .................................... ~ 0.03ms
  2025-12-19 17:08:38 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:08:39 /analyze/ .................................... ~ 0.09ms
  2025-12-19 17:08:39 /analyze/ .................................... ~ 0.02ms
  2025-12-19 17:08:40 /analyze/ .................................. ~ 500.27ms
  2025-12-19 17:08:41 /analyze/ .................................... ~ 0.09ms
  2025-12-19 17:08:42 /analyze/ .................................... ~ 0.02ms
  2025-12-19 17:08:44 /analyze/ .................................... ~ 0.11ms
  2025-12-19 17:08:44 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:08:44 /analyze/ .................................... ~ 0.03ms
  2025-12-19 17:08:46 /analyze/ .................................... ~ 0.17ms
  2025-12-19 17:08:46 /analyze/ .................................... ~ 0.02ms
  2025-12-19 17:08:50 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:08:51 /analyze/ .................................... ~ 0.08ms
  2025-12-19 17:08:52 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:08:52 /analyze/ .................................... ~ 0.04ms
  2025-12-19 17:08:54 /analyze/ .................................... ~ 0.15ms
  2025-12-19 17:08:54 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:08:55 /analyze/ .................................... ~ 0.09ms
  2025-12-19 17:08:57 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:08:57 /analyze/ .................................... ~ 0.04ms
  2025-12-19 17:08:59 /analyze/ .................................... ~ 0.15ms
  2025-12-19 17:09:01 /analyze/ .................................... ~ 0.17ms
  2025-12-19 17:09:04 /analyze/ .................................... ~ 0.25ms
  2025-12-19 17:09:06 /analyze/ .................................... ~ 0.13ms
  2025-12-19 17:09:07 /analyze/ .................................... ~ 0.12ms
  2025-12-19 17:09:09 /analyze/ .................................... ~ 0.15ms
  2025-12-19 17:09:10 /analyze/ .................................... ~ 0.14ms
  2025-12-19 17:09:11 /analyze/ .................................... ~ 0.15ms
